bpm,spo2
84.25,99.855786
83.0,99.855786
83.0,99.855786
83.0,99.855786
87.25,99.657
91.5,99.657
95.75,99.657
100.0,99.657
98.25,99.771114
96.5,99.657
94.75,99.657
91.75,99.848136
90.5,99.848136
89.25,99.848136
89.25,99.824664
90.5,99.824664
95.25,99.824664
98.25,99.824664
100.0,99.824664
101.75,99.848136
100.0,99.848136
100.0,99.848136
101.75,99.824664
105.5,99.824664
109.25,99.824664
113.0,99.824664
115.0,99.824664
115.0,99.824664
113.0,99.824664
111.0,99.824664
109.0,99.824664
107.0,99.824664
107.0,99.824664
107.0,99.824664
101.0,99.796266
95.0,99.796266
87.75,99.854424
80.5,99.854424
79.25,99.854424
79.25,99.345144
